DATETIME,nuclear_outturn
2001-01-01,4762.516399243714
2001-01-02,5075.068669568954
2001-01-03,4600.100985617062
2001-01-04,5718.611247092482
2001-01-05,5010.3906048021145
2001-01-06,4752.558571137983
2001-01-07,5057.769672047899
2001-01-08,4088.2364754694627
2001-01-09,4925.154792572519
2001-01-10,4711.468634506386
2001-01-11,5303.082943114214
2001-01-12,6047.45714732611
2001-01-13,5424.4285864617195
2001-01-14,5592.676785330039
2001-01-15,5692.689308315054
2001-01-16,4297.434316183634
2001-01-17,5660.392525627788
2001-01-18,5434.557792041709
2001-01-19,4989.979118291408
2001-01-20,5126.5090945541615
2001-01-21,4851.63320252516
2001-01-22,4400.903645516857
2001-01-23,5249.297502253149
2001-01-24,5198.7796207941565
2001-01-25,5103.320964010204
2001-01-26,4270.533039634726
2001-01-27,5156.064821695276
2001-01-28,5365.156773437529
2001-01-29,4454.02161136053
2001-01-30,4965.493237134424
2001-01-31,4829.706132522181
2001-02-01,4126.692275098618
2001-02-02,4307.70082882939
2001-02-03,4140.439055151973
2001-02-04,5007.17874937993
2001-02-05,5512.350938407823
2001-02-06,4832.50572881526
2001-02-07,5222.5457255881865
2001-02-08,4760.684931265506
2001-02-09,5027.356338659651
2001-02-10,5141.254198907766
2001-02-11,4316.184482582164
2001-02-12,4314.218542578586
2001-02-13,4728.434145132791
2001-02-14,5980.68369705307
2001-02-15,5049.87827680758
2001-02-16,4643.6017620066095
2001-02-17,5293.534235632672
2001-02-18,5293.163724407239
2001-02-19,5508.2498228792265
2001-02-20,5462.011814946436
2001-02-21,5201.438440491942
2001-02-22,5426.248530016263
2001-02-23,4874.108213346868
2001-02-24,5254.927383886659
2001-02-25,5379.363227729528
2001-02-26,4775.309419377682
2001-02-27,5103.952711111074
2001-02-28,4866.592395580722
2001-03-01,4928.415938289732
2001-03-02,5000.509555059985
2001-03-03,5701.552965260152
2001-03-04,4243.060938570538
2001-03-05,5180.2192492968925
2001-03-06,4357.73114890371
2001-03-07,5171.20042292803
2001-03-08,5216.924003636755
2001-03-09,5517.957601308622
2001-03-10,4010.594601154787
2001-03-11,4763.138083924179
2001-03-12,4032.731463357093
2001-03-13,3940.9569976919165
2001-03-14,5608.525307072558
2001-03-15,4356.60803448045
2001-03-16,4198.932961987087
2001-03-17,5858.597477542283
2001-03-18,4986.055697648405
2001-03-19,5651.50752590157
2001-03-20,5156.078282297501
2001-03-21,4490.927353137305
2001-03-22,4690.7722702799465
2001-03-23,4312.83542605039
2001-03-24,4617.077545701849
2001-03-25,4925.037568632812
2001-03-26,4992.79007900351
2001-03-27,4546.307488307922
2001-03-28,5072.13687874628
2001-03-29,4103.747231922767
2001-03-30,5425.5939110865265
2001-03-31,4764.194808627384
2001-04-01,5839.69506175567
2001-04-02,4737.25682593493
2001-04-03,4231.462160672457
2001-04-04,4928.714396307471
2001-04-05,5412.02938607608
2001-04-06,5308.1187303978595
2001-04-07,5201.157982052353
2001-04-08,4220.506132923674
2001-04-09,5284.749540831077
2001-04-10,5359.241003873146
2001-04-11,4664.794086182571
2001-04-12,3693.602859967108
2001-04-13,4625.7284720708785
2001-04-14,6060.42107699226
2001-04-15,4884.629943431616
2001-04-16,5767.832809565833
2001-04-17,4808.134910047922
2001-04-18,5198.110578813276
2001-04-19,5699.458980681372
2001-04-20,5138.152051479249
2001-04-21,4860.188025592721
2001-04-22,4566.790245303716
2001-04-23,4845.915133964406
2001-04-24,4856.728910996126
2001-04-25,5236.038824855659
2001-04-26,5550.46318211076
2001-04-27,5720.53773906331
2001-04-28,4751.641656347674
2001-04-29,5433.767618019231
2001-04-30,4570.85235145334
2001-05-01,5307.58342222136
2001-05-02,5709.723908728831
2001-05-03,4611.0856512818245
2001-05-04,3576.164141520916
2001-05-05,4453.852920719117
2001-05-06,5795.4708173420895
2001-05-07,5541.10726023119
2001-05-08,5493.947999720096
2001-05-09,4580.980444508862
2001-05-10,4913.491522123247
2001-05-11,5831.195039332597
2001-05-12,5749.26236909429
2001-05-13,5285.149416264876
2001-05-14,4507.232275042465
2001-05-15,4841.008727440914
2001-05-16,4410.610105747481
2001-05-17,4529.2799784482795
2001-05-18,5068.693185489426
2001-05-19,4968.530045274453
2001-05-20,6314.193023440728
2001-05-21,5424.339625421715
2001-05-22,5780.151687062996
2001-05-23,4620.517448625559
2001-05-24,5479.653949356156
2001-05-25,5220.794650117147
2001-05-26,5438.689187883364
2001-05-27,5840.225933527039
2001-05-28,5480.189476188352
2001-05-29,5239.123577860864
2001-05-30,4592.800221985687
2001-05-31,4662.738319080017
2001-06-01,4961.407478604573
2001-06-02,5355.999336822004
2001-06-03,4534.166677945604
2001-06-04,4306.099905087419
2001-06-05,5041.954902766596
2001-06-06,5924.148154203673
2001-06-07,4705.447777085133
2001-06-08,4304.14745729053
2001-06-09,5156.614967043516
2001-06-10,4394.218240047594
2001-06-11,5893.763862191928
2001-06-12,4050.842052261479
2001-06-13,4680.4813121107345
2001-06-14,5009.236282563319
2001-06-15,5098.185509076623
2001-06-16,5334.458581930185
2001-06-17,5322.8876294219845
2001-06-18,5098.087948837983
2001-06-19,5066.104544781755
